roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,recent_math_score,recent_writing_score,recent_science_score,gpa_letter,gpa
std-7655,female,group E,some high school,0,0,47,86,60,C,61.5
std-7656,female,group D,associate's degree,1,1,27,96,66,B,63.25
std-7657,female,group E,associate's degree,0,0,73,60,48,B,64.25
std-7658,female,group C,high school,1,0,68,91,61,B,75
std-7659,female,group D,some high school,1,1,58,82,25,C,60.5
std-7660,female,group C,some college,1,0,76,49,79,B,67.5
std-7661,female,group C,high school,1,1,84,60,61,B,66
std-7662,female,group D,high school,1,0,88,50,54,B,68
std-7663,female,group C,some high school,1,0,79,76,29,C,57
std-7664,female,group B,some high school,1,0,56,77,63,B,63
std-7665,female,group C,some college,0,1,56,73,37,C,54.5
std-7666,female,group D,some college,1,0,85,82,54,B,70.25
std-7667,female,group C,master's degree,1,0,57,80,92,B,74.25
std-7668,female,group E,some college,1,0,84,58,46,B,62.75
std-7669,female,group C,master's degree,0,0,48,78,78,B,67
std-7670,female,group E,associate's degree,0,1,62,52,59,B,65.5
std-7671,female,group D,associate's degree,0,0,65,59,37,B,62.75
std-7672,female,group D,high school,1,0,92,94,90,A,88
std-7673,female,group C,some high school,0,0,58,48,49,B,62.75
std-7674,female,group C,some high school,1,0,86,79,69,B,79.75
std-7675,female,group C,associate's degree,0,1,55,77,47,B,62.5
std-7676,female,group C,some high school,1,0,56,63,74,B,71.75
std-7677,female,group D,some high school,1,1,56,100,100,B,72.25
std-7678,female,group A,master's degree,1,1,59,70,41,C,62.25
std-7679,female,group E,bachelor's degree,0,0,63,80,72,B,72.5
std-7680,female,group B,bachelor's degree,0,0,61,100,38,B,66.25
std-7681,female,group A,some college,1,0,44,79,99,B,79.5
std-7682,female,group D,associate's degree,0,0,61,100,44,B,69
std-7683,female,group B,some high school,1,1,81,100,98,A,85.75
std-7684,female,group C,some college,1,1,67,57,60,C,62.25
std-7685,female,group E,high school,1,1,98,61,71,B,74
std-7686,female,group E,some high school,0,1,85,60,63,B,67.5
std-7687,female,group C,some high school,0,1,42,94,48,B,63.75
std-7688,female,group B,master's degree,1,1,66,57,83,B,67
std-7689,female,group B,bachelor's degree,1,0,37,51,40,C,50.5
std-7690,female,group D,bachelor's degree,1,0,29,93,73,B,63.5
std-7691,female,group C,some college,0,1,55,46,46,C,55.5
std-7692,female,group C,some high school,1,0,76,74,66,B,63.25
std-7693,female,group C,some college,0,1,85,79,60,C,61.75
std-7694,female,group C,high school,1,0,27,82,71,C,60.25
std-7695,female,group C,bachelor's degree,1,1,60,74,80,B,65.25
std-7696,female,group D,high school,1,0,58,98,75,B,71.5
std-7697,female,group D,associate's degree,1,0,82,51,50,B,65.25
std-7698,female,group D,some college,0,0,54,79,39,B,64
std-7699,female,group E,bachelor's degree,0,1,77,97,27,B,63.75
std-7700,female,group B,some high school,1,0,52,89,66,C,59.5
std-7701,female,group C,some college,1,0,75,79,54,B,76.25
std-7702,female,group A,high school,1,0,55,73,54,B,65.5
std-7703,female,group B,some high school,1,0,61,70,65,B,74
std-7704,female,group C,high school,1,1,73,92,71,B,71.75
std-7705,female,group B,bachelor's degree,0,1,67,41,28,C,59
std-7706,female,group B,associate's degree,1,0,84,85,71,B,77.5
std-7707,female,group A,some college,1,1,91,88,65,B,79.5
std-7708,female,group B,some college,1,1,96,53,96,B,74.75
std-7709,female,group A,some high school,1,1,64,86,70,B,76.25
std-7710,female,group C,some high school,0,0,69,80,71,B,77
std-7711,female,group C,some high school,1,0,64,88,66,B,72.75
std-7712,female,group D,some college,1,0,92,95,85,A,90
std-7713,female,group B,associate's degree,1,0,69,70,62,B,67.5
std-7714,female,group D,high school,1,0,38,50,49,C,57.25
std-7715,female,group B,high school,0,1,47,98,64,B,71.75
std-7716,female,group E,high school,1,0,72,62,85,B,79.75
std-7717,female,group E,some college,1,0,51,77,98,B,70
std-7718,female,group A,high school,1,1,78,75,84,B,72.25
std-7719,female,group C,some college,0,1,62,55,46,C,56.25
std-7720,female,group C,associate's degree,1,0,67,49,67,C,62.25
std-7721,female,group D,some college,1,0,73,81,43,C,59.5
std-7722,female,group D,some high school,1,0,65,68,93,B,75.75
std-7723,female,group E,some high school,1,0,100,65,59,B,67.5
std-7724,female,group B,high school,1,1,28,99,91,B,74.25
std-7725,female,group D,master's degree,1,1,78,100,86,A,82.5
std-7726,female,group B,some high school,0,1,72,61,77,B,65.25
std-7727,female,group C,high school,1,0,86,72,58,B,65.5
std-7728,female,group C,some high school,1,0,73,77,87,B,71
std-7729,female,group B,some college,1,0,50,78,67,B,65.25
std-7730,female,group D,associate's degree,1,1,54,63,58,C,59.5
std-7731,female,group D,some college,1,1,27,85,72,C,57.5
std-7732,female,group A,some high school,1,1,72,75,62,B,73.5
std-7733,female,group B,associate's degree,1,0,74,73,49,B,67.25
std-7734,female,group C,master's degree,0,0,43,64,82,B,62.75
std-7735,female,group E,high school,1,1,68,88,61,B,79
std-7736,female,group C,some high school,1,1,71,66,100,B,73
std-7737,female,group B,high school,0,0,75,89,75,B,76.25
std-7738,female,group C,high school,1,0,90,80,97,A,85.75
std-7739,female,group B,some high school,1,0,34,33,70,C,55.5
std-7740,female,group D,bachelor's degree,1,0,67,40,82,B,69
std-7741,female,group C,some college,1,1,73,64,84,B,71
std-7742,Girl,group D,master's degree,1,1,36,76,60,B,68
std-7743,female,group D,high school,0,1,74,95,76,B,74.75
std-7744,female,group D,associate's degree,1,0,58,60,70,B,72
std-7745,female,group B,some college,1,0,56,96,74,A,81.5
std-7746,female,group B,high school,0,0,76,79,60,B,72
std-7747,female,group D,high school,1,1,45,43,53,C,54
std-7748,female,group B,high school,1,1,59,66,68,B,66.25
std-7749,female,group B,high school,1,1,64,81,63,B,69.75
std-7750,female,group E,some college,1,0,33,66,88,B,64.75
std-7751,female,group C,some high school,1,0,38,69,71,C,56.75
std-7752,female,group B,some college,1,0,78,44,84,B,69.25
std-7753,female,group D,bachelor's degree,1,0,74,72,73,B,77.5
std-7754,female,group B,associate's degree,1,1,57,82,64,B,71.25
std-7755,female,group C,associate's degree,0,0,76,73,78,A,81.75
std-7756,female,group D,some college,0,0,55,72,71,B,65
std-7757,female,group D,some college,1,0,59,66,50,C,62.25
std-7758,female,group C,associate's degree,1,1,36,95,68,C,58.75
std-7759,female,group D,some college,1,0,66,90,76,A,80.5
std-7760,female,group A,bachelor's degree,0,0,64,97,38,C,61.25
std-7761,female,group C,some high school,1,0,51,86,98,A,83.75
std-7762,female,group E,some college,1,0,61,74,65,B,64.25
std-7763,female,group D,associate's degree,1,0,27,100,80,B,69.25
std-7764,female,group D,some college,0,0,100,63,48,B,76.75
std-7765,female,group A,high school,0,0,44,69,69,C,61.25
std-7766,female,group B,bachelor's degree,0,1,66,69,93,A,82
std-7767,female,group E,some high school,1,1,61,93,66,A,80
std-7768,female,group E,associate's degree,1,1,67,75,94,B,76.25
std-7769,female,group B,some college,1,1,50,78,74,C,62
std-7770,female,group A,associate's degree,1,1,83,92,74,B,72.25
std-7771,female,group C,bachelor's degree,1,0,69,98,84,B,77.75
std-7772,female,group D,some high school,1,0,88,52,64,B,71
std-7773,female,group B,master's degree,1,1,29,66,77,C,51.75
std-7774,female,group C,associate's degree,1,0,62,63,81,C,59
std-7775,female,group B,bachelor's degree,0,0,57,58,70,B,63.5
std-7776,female,group C,some college,0,0,57,83,26,C,58.25
std-7777,female,group E,some high school,0,1,27,70,59,C,55.25
std-7778,female,group D,some high school,1,0,65,100,90,A,82.25
std-7779,female,group A,some college,1,0,50,79,72,B,69.75
std-7780,female,group A,some college,1,1,30,69,100,B,72
std-7781,female,group A,high school,1,0,56,64,83,B,74
std-7782,female,group D,some high school,1,0,62,100,79,B,71.25
std-7783,female,group E,some college,1,1,89,83,80,B,75.5
std-7784,female,group E,some college,1,0,56,63,77,B,72
std-7785,female,group C,associate's degree,1,1,34,79,66,C,59.75
std-7786,female,group E,some college,1,1,85,77,88,A,81.75
std-7787,female,group B,high school,1,0,57,80,73,B,66.5
std-7788,female,group E,some college,1,1,71,94,64,B,70.5
std-7789,female,group C,high school,1,1,75,86,61,B,72
std-7790,female,group E,some high school,1,0,75,87,40,B,71
std-7791,female,group C,some high school,1,1,81,34,70,C,58.5
std-7792,female,group C,some high school,1,0,82,68,57,B,68.5
std-7793,female,group C,some high school,1,0,73,46,77,B,63.25
std-7794,female,group C,associate's degree,1,1,70,81,48,C,56.75
std-7795,female,group C,bachelor's degree,1,1,36,42,75,C,55
std-7796,female,group A,associate's degree,1,0,70,52,78,B,70
std-7797,female,group B,associate's degree,1,0,82,86,61,B,78
std-7798,female,group E,high school,1,0,52,97,61,C,60.25
std-7799,female,group C,high school,1,1,27,71,71,C,52.75
std-7800,female,group C,master's degree,1,0,27,100,68,B,67.25
std-7801,female,group E,some high school,0,1,30,91,86,B,66.75
std-7802,female,group D,high school,1,1,69,96,67,B,68.75
std-7803,female,group B,bachelor's degree,1,1,58,92,81,A,80.5
std-7804,female,group B,some high school,0,0,59,81,81,B,76.5
std-7805,female,group D,high school,0,0,54,65,60,B,65.25
std-7806,female,group D,some high school,1,0,85,73,84,B,69.5
std-7807,female,group A,some college,1,0,53,72,51,B,64
std-7808,female,group D,some high school,0,0,46,80,76,B,62.75
std-7809,female,group D,high school,1,1,43,73,87,B,73.75
std-7810,female,group D,high school,1,0,94,87,47,B,63
std-7811,female,group B,bachelor's degree,1,1,79,99,76,B,69.25
std-7812,female,group D,some college,1,0,62,81,85,A,80.25
std-7813,female,group E,high school,1,0,74,74,79,B,78.75
std-7814,female,group C,associate's degree,1,1,33,78,90,B,66.5
std-7815,female,group C,associate's degree,1,0,55,40,84,B,68.75
std-7816,female,group D,some high school,1,0,37,86,76,B,72
std-7817,female,group C,high school,0,1,70,73,79,B,71.25
std-7818,female,group E,high school,1,1,27,49,66,C,55.5
std-7819,female,group D,some high school,1,0,41,85,67,B,67
std-7820,female,group C,high school,1,1,95,98,66,A,83.25
std-7821,female,group B,associate's degree,1,1,56,93,87,B,69.5
std-7822,female,group C,master's degree,0,0,58,49,77,B,68
std-7823,female,group D,bachelor's degree,1,1,28,57,53,D,40.25
std-7824,female,group B,some high school,0,0,64,72,75,B,71.5
std-7825,female,group D,associate's degree,1,1,78,92,32,B,65
std-7826,female,group B,some college,1,0,69,62,51,C,60.5
std-7827,female,group D,some college,0,0,73,100,90,A,81.25
std-7828,female,group E,associate's degree,1,1,72,65,70,C,60.5
std-7829,female,group C,high school,1,0,47,70,64,C,60.5
std-7830,female,group D,bachelor's degree,1,1,76,84,47,B,64.5
std-7831,female,group E,master's degree,0,0,75,69,61,B,68.75
std-7832,female,group B,some college,1,1,61,98,69,B,79
std-7833,female,group C,associate's degree,1,0,100,100,83,A,90.75
std-7834,female,group D,some college,1,0,61,42,63,C,61.25
std-7835,female,group C,high school,1,1,74,78,86,B,76.25
std-7836,female,group C,some college,0,1,78,73,61,B,64
std-7837,female,group C,master's degree,0,0,67,72,62,B,71.25
std-7838,female,group D,bachelor's degree,0,0,27,76,69,C,57.75
std-7839,female,group A,some high school,1,1,38,53,66,C,60.5
std-7840,female,group D,associate's degree,0,0,52,77,46,C,58
std-7841,female,group C,some college,0,1,47,98,66,B,72.5
std-7842,female,group D,some high school,0,1,31,65,77,C,58.25
std-7843,female,group C,some high school,1,1,54,62,76,C,57.75
std-7844,female,group D,some high school,0,0,58,77,47,B,65
std-7845,female,group E,associate's degree,1,0,69,49,65,C,57
std-7846,female,group E,some college,0,0,87,46,85,B,67.75
std-7847,female,group B,associate's degree,0,0,28,45,50,D,46.25
std-7848,female,group C,high school,1,0,80,61,83,B,79
std-7849,female,group D,some college,1,0,88,96,63,A,81.25
std-7850,female,group B,associate's degree,1,1,100,85,63,A,84
std-7851,female,group C,associate's degree,1,1,37,35,61,D,47
std-7852,female,group E,associate's degree,1,0,78,81,59,B,79.5
std-7853,female,group E,some high school,1,1,66,86,34,C,59
std-7854,female,group E,associate's degree,1,0,79,56,66,B,67.5
std-7855,female,group E,some high school,1,0,27,95,61,B,67.25
std-7856,female,group A,associate's degree,0,0,84,75,48,B,73.75
std-7857,female,group C,master's degree,1,1,33,68,66,C,61.75
std-7858,female,group B,associate's degree,1,1,62,87,68,B,73.25
std-7859,female,group D,high school,1,0,28,100,66,B,66.25
std-7860,female,group C,associate's degree,1,0,54,55,32,D,45.5
std-7861,female,group C,associate's degree,0,1,40,20,92,B,63
std-7862,female,group B,associate's degree,1,0,74,67,66,B,69
std-7863,female,group C,high school,1,0,27,100,77,B,70.75
std-7864,female,group E,high school,1,0,63,58,70,B,71.25
std-7865,female,group C,associate's degree,0,1,30,80,96,C,60.5
std-7866,female,group C,associate's degree,1,1,100,57,88,B,74.5
std-7867,female,group B,some college,1,1,40,76,63,C,60.5
std-7868,female,group B,high school,1,0,73,71,37,C,59.25
std-7869,female,group E,associate's degree,1,0,67,44,94,B,70.25
std-7870,female,group D,high school,0,0,34,88,77,C,61.25
std-7871,female,group C,bachelor's degree,1,1,69,57,83,C,59.75
std-7872,female,group D,some college,1,1,87,93,90,B,77.5
std-7873,female,group C,high school,0,1,64,84,64,B,76.25
std-7874,female,group C,some college,0,1,59,79,59,C,55
std-7875,female,group E,some high school,1,1,71,76,77,B,74.5
std-7876,female,group B,some high school,1,0,100,100,87,A,82.25
std-7877,female,group C,some college,1,0,73,85,71,B,73.25
std-7878,female,group C,some college,1,0,63,64,55,B,70.5
std-7879,female,group B,some high school,0,1,79,79,78,B,73.5
std-7880,female,group C,some high school,0,1,79,60,54,B,69.5
std-7881,female,group D,high school,1,0,67,74,79,B,70.25
std-7882,female,group E,associate's degree,0,0,97,99,70,A,86.75
std-7883,female,group D,associate's degree,0,1,52,71,51,B,65
std-7884,female,group C,some college,1,0,90,67,100,B,75.5
std-7885,female,group E,some college,1,1,37,75,94,B,73.5
std-7886,female,group D,high school,0,0,91,84,59,A,83.5
std-7887,female,group A,some college,0,0,50,100,51,B,67.25
std-7888,female,group D,high school,0,0,60,97,61,B,72.5
std-7889,female,group D,high school,1,1,67,75,50,C,58
std-7890,female,group D,high school,0,0,78,61,65,B,69.25
std-7891,female,group A,associate's degree,1,0,50,39,66,C,59.75
std-7892,female,group D,bachelor's degree,1,1,81,100,81,A,86.5
std-7893,female,group C,associate's degree,0,1,87,95,83,A,81.25
std-7894,female,group C,master's degree,1,1,46,68,72,B,65.5
std-7895,female,group C,some college,0,0,58,67,74,B,66.5
std-7896,female,group C,associate's degree,1,1,57,85,73,B,66.75
std-7897,female,group D,associate's degree,1,0,67,60,85,B,68
std-7898,female,group C,some high school,1,0,29,50,64,C,50.25
std-7899,female,group A,some college,1,1,56,100,71,B,74.5
std-7900,female,group D,master's degree,1,1,38,79,98,B,76.5
std-7901,female,group D,bachelor's degree,1,0,60,74,76,B,71.25
std-7902,female,group C,some high school,1,0,27,85,63,C,55.25
std-7903,female,group A,some high school,1,0,60,96,56,B,72.5
std-7904,female,group A,some high school,1,1,74,75,90,B,73
std-7905,female,group C,high school,1,0,75,85,77,B,77
std-7906,female,group D,high school,1,1,65,100,35,B,69.25
std-7907,female,group B,high school,1,0,62,61,71,B,69.5
std-7908,female,group E,high school,0,0,62,85,80,B,75.5
std-7909,female,group E,associate's degree,1,1,34,100,50,B,65.5
std-7910,female,group D,associate's degree,1,1,58,84,50,B,68.75
std-7911,female,group B,some college,1,0,35,100,90,B,73.75
std-7912,female,group E,master's degree,0,1,75,100,42,B,75.25
std-7913,female,group D,bachelor's degree,1,1,68,73,88,A,81
std-7914,female,group A,some college,1,1,56,100,91,B,69.25
std-7915,female,group D,some college,1,1,73,65,37,C,54.5
std-7916,female,group D,some college,0,1,65,85,89,B,72.75
std-7917,female,group C,associate's degree,1,1,69,88,51,B,70
std-7918,female,group E,bachelor's degree,1,0,62,71,41,C,56.25
std-7919,female,group E,some college,0,0,70,99,73,A,82
std-7920,female,group C,some high school,1,0,70,57,46,B,66
std-7921,female,group E,high school,0,1,73,39,66,C,51.5
std-7922,female,group E,some high school,1,0,57,76,82,B,77.75
std-7923,female,group D,some college,1,0,70,53,78,B,71.75
std-7924,female,group E,high school,1,1,47,58,99,B,72.25
std-7925,female,group A,high school,1,0,27,74,92,C,59.5
std-7926,female,group D,associate's degree,1,1,41,94,67,B,72.75
std-7927,female,group C,some college,0,1,61,78,58,B,67.5
std-7928,female,group D,some college,1,0,53,79,96,B,77
std-7929,female,group C,some high school,0,1,54,85,43,C,61
std-7930,female,group A,high school,1,1,30,82,79,B,69.5
std-7931,female,group D,master's degree,0,0,92,97,44,A,80
std-7932,female,group D,associate's degree,0,1,77,100,50,B,65.75
std-7933,female,group E,bachelor's degree,1,0,53,75,56,C,60.25
std-7934,female,group C,bachelor's degree,1,1,57,97,74,B,72.75
std-7935,female,group C,bachelor's degree,0,0,69,95,37,B,66.5
std-7936,female,group A,high school,1,1,60,98,66,B,76
std-7937,female,group C,high school,1,0,75,87,79,B,73
std-7938,female,group D,some college,1,1,73,86,76,B,76.75
std-7939,female,group D,master's degree,0,0,67,77,33,C,56.75
std-7940,female,group D,high school,0,0,71,86,53,B,63
std-7941,female,group A,some college,1,0,55,66,70,C,58.5
std-7942,female,group A,bachelor's degree,0,0,83,96,72,B,79.5
std-7943,female,group B,bachelor's degree,1,0,86,82,69,B,67
std-7944,female,group A,some high school,1,1,56,67,64,B,64.75
std-7945,female,group B,some high school,1,1,63,94,85,A,83.25
std-7946,female,group C,some college,1,0,53,70,83,B,70.75
std-7947,female,group D,high school,1,0,82,100,79,A,84
std-7948,female,group A,high school,1,0,56,61,70,C,61.75
std-7949,female,group E,some college,1,1,30,82,72,B,70
std-7950,female,group B,high school,1,1,63,69,81,B,72.5
std-7951,female,group E,some college,1,1,61,51,67,B,67.25
std-7952,female,group C,master's degree,0,0,27,91,71,B,70.25
std-7953,female,group C,associate's degree,1,0,91,92,84,A,83.75
std-7954,female,group C,some college,1,1,50,95,83,B,72.75
std-7955,female,group A,some high school,1,0,76,48,71,B,69
std-7956,female,group D,associate's degree,1,1,51,72,72,B,73.5
std-7957,female,group D,bachelor's degree,0,0,55,58,26,D,47.75
std-7958,female,group C,some college,1,0,33,64,86,B,63
std-7959,female,group D,associate's degree,1,0,67,70,48,B,65.5
std-7960,female,group B,high school,0,0,100,86,31,B,69.25
std-7961,female,group E,some college,1,0,71,54,51,B,65
std-7962,female,group C,some high school,0,1,70,77,52,C,55.5
std-7963,female,group D,master's degree,0,1,74,46,79,B,74.75
std-7964,female,group B,master's degree,0,1,68,67,78,B,78.25
std-7965,female,group D,some college,0,0,55,34,61,B,62.5
std-7966,female,group D,some high school,1,1,50,60,60,C,59.5
std-7967,female,group D,some college,1,0,52,89,50,B,62.75
std-7968,female,group B,some college,0,0,27,74,45,C,58.25
std-7969,female,group D,some high school,1,1,29,64,53,D,48.75
std-7970,female,group E,high school,1,1,88,80,98,A,85.5
std-7971,female,group D,associate's degree,0,0,58,79,37,C,61
std-7972,female,group A,some high school,1,1,70,62,99,B,74.25
std-7973,female,group D,some college,1,0,97,88,63,A,87
std-7974,female,group E,some college,0,0,83,91,72,B,79.75
std-7975,female,group D,bachelor's degree,0,0,56,86,77,B,73
std-7976,female,group E,associate's degree,0,0,73,91,59,B,67.5
std-7977,female,group D,some college,1,0,75,72,100,A,82.5
std-7978,female,group A,high school,1,0,51,86,52,C,60.5
std-7979,female,group E,high school,1,1,51,79,61,B,70.75
std-7980,female,group E,some college,0,0,91,63,42,B,64.5
std-7981,female,group C,bachelor's degree,1,1,32,80,73,B,63.5
std-7982,female,group C,associate's degree,0,1,38,100,56,C,59.5
std-7983,female,group A,some college,1,1,92,100,51,B,76.25
std-7984,female,group D,some college,1,0,83,83,72,B,77
std-7985,female,group C,associate's degree,1,0,74,97,63,B,76
std-7986,female,group C,high school,1,1,41,75,90,B,76.5
std-7987,female,group A,some high school,0,0,46,89,46,C,60
std-7988,female,group A,associate's degree,1,0,40,69,79,B,65
std-7989,female,group C,high school,1,0,92,95,93,A,84.75
std-7990,female,group E,some high school,1,0,59,89,59,B,63.5
std-7991,female,group D,some high school,0,0,75,68,69,B,70.5
std-7992,female,group B,master's degree,0,0,74,61,68,B,75.5
std-7993,female,group D,bachelor's degree,1,0,90,99,86,A,80
std-7994,female,group B,associate's degree,0,0,89,77,78,A,80
std-7995,female,group B,bachelor's degree,1,1,91,51,88,B,77.25
std-7996,female,group B,some high school,1,0,58,81,90,B,77.75
std-7997,female,group B,some college,0,0,58,56,58,C,60.25
std-7998,female,group C,some college,1,0,72,100,51,B,71.25
std-7999,female,group C,some high school,0,1,33,72,47,C,56.75
std-8000,female,group A,some college,1,1,84,81,69,B,71.5
std-8001,female,group D,high school,1,0,78,45,64,B,67.25
std-8002,female,group C,associate's degree,1,0,31,74,61,C,55.75
std-8003,female,group E,high school,0,0,47,60,72,C,54.5
std-8004,female,group A,bachelor's degree,1,1,70,72,40,C,57.25
std-8005,female,group C,some college,1,1,63,62,88,B,78.25
std-8006,female,group D,some college,1,1,39,97,94,B,73.75
std-8007,female,group C,bachelor's degree,0,0,34,70,85,B,67.25
std-8008,female,group C,some high school,1,1,82,34,32,C,50.75
std-8009,female,group C,master's degree,0,0,85,100,62,A,84
std-8010,female,group B,high school,1,0,36,68,79,B,70.5
std-8011,female,group B,high school,1,0,85,91,90,A,80
std-8012,female,group D,high school,0,1,67,60,34,B,65.25
std-8013,female,group B,associate's degree,1,1,61,89,87,B,75.5
std-8014,female,group E,some high school,0,0,63,62,53,B,69.5
std-8015,female,group D,some college,0,0,66,60,64,B,66.25
std-8016,female,group C,high school,1,1,27,82,88,C,61.25
std-8017,female,group C,some college,1,0,71,95,83,A,86
std-8018,female,group C,some college,1,1,27,61,92,C,50.75
std-8019,female,group E,associate's degree,1,0,77,75,77,B,73.5
std-8020,female,group C,bachelor's degree,1,1,67,39,42,D,49.5
std-8021,female,group B,some high school,1,0,47,60,39,C,58.75
std-8022,female,group E,high school,0,1,69,75,91,B,70.25
std-8023,female,group C,high school,1,0,74,60,45,B,62.5
std-8024,female,group C,high school,0,0,70,71,84,A,80.5
std-8025,female,group A,high school,1,1,64,73,84,B,76.5
std-8026,female,group C,bachelor's degree,0,0,47,99,59,B,69.25
std-8027,female,group D,some high school,1,0,63,100,79,B,72.75
std-8028,female,group D,some high school,1,0,100,81,,B,
std-8029,female,group E,some college,1,0,65,,69,B,67.5
std-8030,female,group C,associate's degree,0,1,71,78,78,B,72.5
std-8031,female,group C,high school,1,1,72,40,65,C,58.75
std-8032,female,group C,some high school,1,1,,64,75,B,71.75
std-8033,female,group D,master's degree,,0,40,84,87,B,71.5
std-8034,female,group E,associate's degree,1,1,62,82,91,B,79.5
std-8035,female,,master's degree,1,1,100,99,86,A,95.75
std-8036,,group E,some high school,0,0,67,64,39,C,59.75
std-8037,female,group A,high school,1,0,75,49,94,B,65.25
std-8038,female,group D,associate's degree,1,0,65,87,49,B,74.25
std-8039,female,group D,some college,0,1,64,79,83,B,78.5
std-8040,female,group B,associate's degree,1,0,52,72,81,B,70.5
std-8041,female,group D,some college,0,1,27,62,70,C,54
std-8042,female,group C,some high school,1,1,79,89,69,B,79.5
std-8043,female,group C,master's degree,1,0,56,80,89,B,73.25
std-8044,female,group C,bachelor's degree,1,0,77,83,92,A,86.75
std-8045,female,group C,high school,1,0,72,80,96,A,80.5
std-8046,female,group B,associate's degree,1,1,49,82,71,B,69.25
std-8047,female,group C,high school,1,0,86,47,37,B,65.75
std-8048,female,group D,associate's degree,1,1,28,100,89,B,75.75
std-8049,female,group C,bachelor's degree,1,0,57,57,65,C,61
std-8050,female,group E,some college,1,1,50,70,58,B,67.75
std-8051,female,group C,high school,0,0,56,73,80,B,75
std-8052,female,group C,associate's degree,1,1,83,84,81,B,77.75
std-8053,female,group D,bachelor's degree,0,0,63,100,90,A,84.25
std-8054,female,group B,master's degree,0,0,58,61,74,B,73.25
std-8055,female,group D,associate's degree,1,1,71,88,58,B,71.5
std-8056,female,group D,associate's degree,0,0,58,68,91,B,67
std-8057,female,group C,some college,1,0,53,88,71,B,71.25
std-8058,female,group D,high school,1,1,39,68,31,D,48.25
std-8059,female,group C,associate's degree,0,0,73,52,81,C,59.75
std-8060,female,group D,associate's degree,1,1,87,71,74,B,69.5
std-8061,female,group C,associate's degree,1,0,80,71,87,B,71
std-8062,female,group A,some college,1,0,57,61,37,C,57
std-8063,Girl,group D,associate's degree,1,0,75,89,43,B,63
std-8064,female,group D,high school,1,0,70,75,42,B,65.75
std-8065,female,group B,associate's degree,1,0,55,88,60,B,68.5
std-8066,female,group D,high school,1,1,75,38,62,C,50.25
std-8067,female,group C,associate's degree,0,1,62,84,57,B,68
std-8068,female,group D,bachelor's degree,1,1,53,85,97,B,75
std-8069,female,group D,some college,1,0,58,80,48,B,67.25
std-8070,female,group D,some college,1,0,60,86,54,C,59.75
std-8071,female,group A,some college,1,0,69,65,62,B,69.25
std-8072,female,group C,some high school,1,1,71,58,88,B,74.5
std-8073,female,group B,bachelor's degree,1,1,45,81,60,C,59.75
std-8074,female,group B,some high school,1,0,68,81,88,B,77.5
std-8075,female,group A,master's degree,0,0,72,89,90,A,84.75
std-8076,female,group C,some high school,1,0,60,91,68,B,71.25
std-8077,female,group C,some college,1,0,54,64,87,B,70.25
std-8078,female,group D,master's degree,1,0,66,70,41,C,61.25
std-8079,female,group E,master's degree,1,1,55,62,86,B,66.25
std-8080,female,group B,associate's degree,1,0,31,100,39,B,63.75
std-8081,female,group C,high school,1,0,72,54,83,B,67.5
std-8082,female,group C,associate's degree,0,0,88,69,62,B,77
std-8083,female,group A,associate's degree,1,0,59,85,76,B,71.25
std-8084,female,group B,some college,1,0,57,97,91,B,76
std-8085,female,group A,high school,1,0,89,95,57,B,73.5
std-8086,female,group C,associate's degree,0,1,41,32,45,D,42
std-8087,female,group B,bachelor's degree,0,0,66,89,73,B,75.25
std-8088,female,group B,some college,0,0,71,88,100,A,86
std-8089,female,group C,bachelor's degree,1,1,51,63,79,B,67
std-8090,female,group D,some college,0,1,45,64,62,C,60.25
std-8091,female,group A,associate's degree,0,0,34,88,53,B,64
std-8092,female,group B,some college,1,0,61,33,81,B,66.25
std-8093,female,group D,some college,0,1,69,83,52,B,65
std-8094,female,group E,some high school,0,1,84,64,45,B,73.25
std-8095,female,group D,associate's degree,0,0,85,71,57,B,68.75
std-8096,female,group C,master's degree,0,1,98,58,55,B,65.25
std-8097,female,group D,some college,1,1,53,90,85,B,74.5
std-8098,female,group E,some high school,1,0,81,94,77,B,77.5
std-8099,female,group C,associate's degree,1,0,99,86,62,B,72.75
std-8100,female,group C,associate's degree,1,0,83,63,67,B,73.5
std-8101,female,group E,some high school,1,1,53,39,62,C,59.75
std-8102,female,group C,bachelor's degree,0,0,60,80,83,B,70.25
std-8103,female,group C,associate's degree,1,1,79,100,69,A,80.5
std-8104,female,group A,high school,1,1,66,85,87,B,76.75
std-8105,female,group E,some high school,0,1,69,98,84,A,84
std-8106,female,group C,high school,1,0,69,82,69,B,63.5
std-8107,female,group D,some high school,1,0,64,73,68,B,68.5
std-8108,female,group A,bachelor's degree,0,0,78,97,70,A,83.5
std-8109,female,group E,some high school,1,0,78,90,79,A,81.75
std-8110,female,group D,bachelor's degree,0,0,56,93,68,B,71.75
std-8111,female,group C,associate's degree,0,1,36,88,89,B,68.25
std-8112,female,group B,high school,1,0,54,85,40,B,67.25
std-8113,female,group B,high school,1,0,56,72,59,B,66.5
std-8114,female,group D,some college,1,0,79,82,78,B,73
std-8115,female,group C,some high school,1,1,41,53,39,C,50.5
std-8116,female,group C,some college,1,1,86,71,77,B,73.75
std-8117,female,group A,some college,1,1,55,62,53,C,59
std-8118,female,group D,some college,0,0,66,78,78,B,78.25
std-8119,female,group E,some college,0,0,87,94,68,B,78
